Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25100794,AMPLICON,602,27353676,PRJNA989655,SAMN36181788,Metagenome or environmental,17174226,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20853964,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,78_A13_myco,44.555881 N 123.214569 W,78_A13_myco_A13,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,78_A13_myco,SRP446870
SRR25100795,AMPLICON,602,15942164,PRJNA989655,SAMN36181787,Metagenome or environmental,10369803,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20853963,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,66_D125_myco,44.555881 N 123.214569 W,66_D125_myco_D125,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,66_D125_myco,SRP446870
SRR25100796,AMPLICON,602,14714686,PRJNA989655,SAMN36181786,Metagenome or environmental,9369748,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20853962,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,54_C91_myco,44.555881 N 123.214569 W,54_C91_myco_C91,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,54_C91_myco,SRP446870
SRR25100797,AMPLICON,602,15142106,PRJNA989655,SAMN36181785,Metagenome or environmental,9783079,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20853961,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,42_B197_myco,44.555881 N 123.214569 W,42_B197_myco_B197,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,42_B197_myco,SRP446870
SRR25100798,AMPLICON,602,5522146,PRJNA989655,SAMN36181784,Metagenome or environmental,3607824,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20853960,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,30_C2_myco,44.555881 N 123.214569 W,30_C2_myco_C2,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,30_C2_myco,SRP446870
SRR25100799,AMPLICON,602,23310042,PRJNA989655,SAMN36181783,Metagenome or environmental,14626826,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX20853959,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,18_B29_myco,44.555881 N 123.214569 W,18_B29_myco_B29,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,18_B29_myco,SRP446870
SRR25100800,AMPLICON,602,21965776,PRJNA989655,SAMN36181782,Metagenome or environmental,13457889,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20853958,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,6_Hystyle_myco,44.555881 N 123.214569 W,6_Hystyle_myco_Hystyle,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,6_Hystyle_myco,SRP446870
SRR25100801,AMPLICON,602,23143288,PRJNA989655,SAMN36181746,Metagenome or environmental,14462126,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20853957,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,49_A67_myco,44.555881 N 123.214569 W,49_A67_myco_A67,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:42:00Z,1,49_A67_myco,SRP446870
SRR25100802,AMPLICON,602,28042966,PRJNA989655,SAMN36181781,Metagenome or environmental,18066226,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20853956,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,89_D160_myco,44.555881 N 123.214569 W,89_D160_myco_D160,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:41:00Z,1,89_D160_myco,SRP446870
SRR25100803,AMPLICON,602,23954182,PRJNA989655,SAMN36181780,Metagenome or environmental,14992777,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20853955,USA,North America,"USA: Corvallis\, OR",Phaseolus vulgaris,Illumina MiSeq,77_A13_myco,44.555881 N 123.214569 W,77_A13_myco_A13,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-30T00:00:00Z,2023-06-30T19:42:00Z,1,77_A13_myco,SRP446870
