Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25070614,AMPLICON,602,21296954,PRJNA988238,SAMN36007594,Metagenome or environmental,12342874,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824643,USA,North America,"USA: Corvallis\, OR",128_B39,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,128_B39,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,128_B39,SRP446524
SRR25070615,AMPLICON,602,32459238,PRJNA988238,SAMN36007593,Metagenome or environmental,18733000,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824642,USA,North America,"USA: Corvallis\, OR",116_B91,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,116_B91,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,116_B91,SRP446524
SRR25070616,AMPLICON,602,33465180,PRJNA988238,SAMN36007592,Metagenome or environmental,19297912,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824641,USA,North America,"USA: Corvallis\, OR",104_C92,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,104_C92,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,104_C92,SRP446524
SRR25070617,AMPLICON,602,31928274,PRJNA988238,SAMN36007591,Metagenome or environmental,18330340,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824640,USA,North America,"USA: Corvallis\, OR",127_B39,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,127_B39,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,127_B39,SRP446524
SRR25070618,AMPLICON,602,35957460,PRJNA988238,SAMN36007590,Metagenome or environmental,20589280,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824639,USA,North America,"USA: Corvallis\, OR",115_B91,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,115_B91,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,115_B91,SRP446524
SRR25070619,AMPLICON,602,26978630,PRJNA988238,SAMN36007589,Metagenome or environmental,15722102,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824638,USA,North America,"USA: Corvallis\, OR",103_C92,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,103_C92,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,103_C92,SRP446524
SRR25070620,AMPLICON,602,28928508,PRJNA988238,SAMN36007524,Metagenome or environmental,15838039,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824637,USA,North America,"USA: Corvallis\, OR",19_A46,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,19_A46,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,19_A46,SRP446524
SRR25070621,AMPLICON,602,28408380,PRJNA988238,SAMN36007523,Metagenome or environmental,15751510,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824636,USA,North America,"USA: Corvallis\, OR",7_C87,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,7_C87,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,7_C87,SRP446524
SRR25070622,AMPLICON,602,43006880,PRJNA988238,SAMN36007522,Metagenome or environmental,24723378,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824635,USA,North America,"USA: Corvallis\, OR",90_D160,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,90_D160,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,90_D160,SRP446524
SRR25070623,AMPLICON,602,44024862,PRJNA988238,SAMN36007521,Metagenome or environmental,25197041,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824634,USA,North America,"USA: Corvallis\, OR",78_A13,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,78_A13,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,78_A13,SRP446524
SRR25070624,AMPLICON,602,37240924,PRJNA988238,SAMN36007520,Metagenome or environmental,21437219,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824633,USA,North America,"USA: Corvallis\, OR",66_D125,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,66_D125,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,66_D125,SRP446524
SRR25070625,AMPLICON,602,23281748,PRJNA988238,SAMN36007519,Metagenome or environmental,13405793,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824632,USA,North America,"USA: Corvallis\, OR",54_C91,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,54_C91,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,54_C91,SRP446524
SRR25070626,AMPLICON,602,19810014,PRJNA988238,SAMN36007518,Metagenome or environmental,11460600,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824631,USA,North America,"USA: Corvallis\, OR",42_B197,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,42_B197,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,42_B197,SRP446524
